檔案路徑,函式名稱,round1,round2,round3,round4,round5,round6,round7,round8,QueryTimes
hacking/azp/incidental.py,incidental_report,0,1 (Bandit),#,#,,,,,2
lib/ansible/_internal/_ssh/_ssh_agent.py,fingerprint,0,1 (Bandit),#,#,,,,,2
lib/ansible/galaxy/collection/concrete_artifact_manager.py,_consume_file,0,0,0,0,,,,,
lib/ansible/module_utils/urls.py,get_channel_binding_cert_hash,0,0,0,0,,,,,
lib/ansible/modules/known_hosts.py,hash_host_key,0,0,0,0,,,,,
lib/ansible/parsing/vault/__init__.py,_create_key_cryptography,0,0,0,0,,,,,
lib/ansible/plugins/connection/psrp.py,put_file,0,0,0,0,,,,,
lib/ansible/plugins/connection/ssh.py,_create_control_path,failed,failed,failed,failed,,,,,
lib/ansible/plugins/filter/core.py,get_hash,0,0,0,0,,,,,
lib/ansible/plugins/inventory/__init__.py,_get_cache_prefix,1 (Bandit),#,#,#,,,,,1
lib/ansible/plugins/lookup/password.py,_get_lock,1 (Bandit),#,#,#,,,,,1
lib/ansible/utils/hashing.py,secure_hash,0,0,0,0,,,,,
packaging/release.py,ensure_venv,0,0,0,0,,,,,
test/integration/targets/ansible-galaxy-collection/files/build_bad_tar.py,add_file,0,0,0,0,,,,,
test/lib/ansible_test/_internal/commands/sanity/__init__.py,hash_pip_commands,1 (Bandit),#,#,#,,,,,1
test/units/galaxy/test_collection.py,manifest,0,0,0,0,,,,,
test/units/utils/test_serialization_profiles.py,test_cache_persistence_schema,1 (Bandit),#,#,#,,,,,1
